passenger_id1,passenger_id2,number_of_flight_together,from_date,to_date
701,760,15,2017-01-02,2017-05-30
3503,3590,14,2017-01-15,2017-06-24
2717,2759,14,2017-01-10,2017-05-03
2939,5490,13,2017-02-22,2017-06-05
2939,4395,12,2017-02-07,2017-05-19
760,763,12,2017-01-02,2017-05-12
701,763,12,2017-01-02,2017-05-12
1337,1484,12,2017-02-04,2017-05-13
366,374,12,2017-01-01,2017-03-25
2759,4316,12,2017-02-07,2017-05-09
1208,3093,12,2017-02-02,2017-06-05
2550,4441,12,2017-02-12,2017-06-11
4316,4373,12,2017-01-24,2017-05-09
4395,4399,12,2017-01-24,2017-05-12
3278,5423,12,2017-04-17,2017-06-25
2926,3590,12,2017-03-27,2017-06-24
975,1371,12,2017-01-25,2017-04-22
382,392,12,2017-01-01,2017-07-11
5481,5491,12,2017-02-17,2017-05-12
3590,6813,12,2017-04-17,2017-06-24
733,752,11,2017-01-02,2017-03-24
716,724,11,2017-01-02,2017-04-12
4034,4046,11,2017-01-20,2017-05-22
6052,6100,11,2017-03-05,2017-06-18
1001,1023,11,2017-01-02,2017-04-20
4316,5491,11,2017-02-22,2017-05-12
1208,5789,11,2017-03-24,2017-06-05
366,752,11,2017-01-04,2017-04-05
1865,1884,11,2017-01-08,2017-05-03
4316,5481,11,2017-02-22,2017-05-12
4009,4339,11,2017-01-31,2017-05-12
392,1849,11,2017-04-06,2017-07-11
1053,3477,11,2017-01-17,2017-05-29
2939,2959,11,2017-01-10,2017-04-02
772,1023,11,2017-01-04,2017-05-02
901,2906,11,2017-01-25,2017-05-29
1337,1371,11,2017-01-03,2017-04-15
746,772,11,2017-01-02,2017-04-20
1337,2867,11,2017-02-04,2017-07-05
2939,2969,11,2017-01-10,2017-04-02
1046,4552,11,2017-03-13,2017-06-11
1666,1696,11,2017-01-07,2017-04-05
755,771,11,2017-01-02,2017-02-26
928,975,11,2017-01-02,2017-04-15
5544,5546,11,2017-02-19,2017-06-24
2959,2969,11,2017-01-10,2017-04-02
5443,5481,11,2017-02-17,2017-05-09
2717,4316,11,2017-02-07,2017-05-03
7866,7872,11,2017-03-24,2017-06-06
4025,4053,11,2017-01-20,2017-04-24
4541,7162,11,2017-05-11,2017-07-12
4011,4044,11,2017-01-20,2017-05-27
4607,4674,11,2017-02-02,2017-05-03
5443,5491,11,2017-02-17,2017-05-09
739,752,10,2017-01-02,2017-03-04
1484,2867,10,2017-02-02,2017-04-15
2759,5491,10,2017-02-22,2017-05-09
3418,6813,10,2017-04-30,2017-06-24
2511,2867,10,2017-02-02,2017-04-15
701,751,10,2017-01-02,2017-04-29
928,1337,10,2017-01-25,2017-04-15
3503,6813,10,2017-04-17,2017-06-24
